imdb_id,title,year,director,region_code,budget_usd,us_gross,genres,date,runtime_minutes,averagerating
tt0004972,The Birth of a Nation,1915,D.W. Griffith,US,100000.0,-1.0,"Drama, History, War",,,
tt0010323,The Cabinet of Dr. Caligari,1920,Robert Wiene,DE,18000.0,9000.0,"Fantasy, Horror, Mystery",,,
tt0012349,The Kid,1921,Charles Chaplin,US,250000.0,-1.0,"Comedy, Drama, Family",,,
tt0013257,Häxan,1922,Benjamin Christensen,unknown,2000000.0,-1.0,"Fantasy, History, Horror",,,
tt0013442,Nosferatu,1922,F.W. Murnau,DE,-1.0,-1.0,"Fantasy, Horror",,,
tt0015324,Sherlock Jr.,1924,Buster Keaton,US,-1.0,-1.0,"Action, Comedy, Romance",,,
tt0015648,Battleship Potemkin,1925,Sergei M. Eisenstein,SUHH,-1.0,51000.0,"Drama, History, Thriller",1925-12-24,,
tt0015864,The Gold Rush,1925,Charles Chaplin,US,923000.0,-1.0,"Adventure, Comedy, Drama",,,
tt0016220,The Phantom of the Opera,1925,Rupert Julian,US,-1.0,-1.0,Horror,,,
tt0016630,Battling Butler,1926,Buster Keaton,US,-1.0,-1.0,"Action, Comedy, Romance",,,
tt0017136,Metropolis,1927,Fritz Lang,DE,6000000.0,1200000.0,"Drama, Sci-Fi",1927-01-10,,
tt0017925,The General,1926,Clyde Bruckman,US,750000.0,-1.0,"Action, Adventure, Comedy",,,
tt0018455,Sunrise,1927,F.W. Murnau,US,200000.0,-1.0,"Drama, Romance",,,
tt0018578,Wings,1927,William A. Wellman,US,2000000.0,-1.0,"Drama, Romance, War",,,
tt0019130,The Man Who Laughs,1928,Paul Leni,US,-1.0,-1.0,"Drama, Horror, Mystery",,,
tt0019254,The Passion of Joan of Arc,1928,Carl Theodor Dreyer,FR,-1.0,22000.0,"Biography, Drama, History",1928-04-21,,
tt0020629,All Quiet on the Western Front,1930,Lewis Milestone,US,1200000.0,-1.0,"Drama, War",,,
tt0020960,Hell's Angels,1930,Howard Hughes,US,4000000.0,-1.0,"Drama, War",,,
